id_version,n_classes
8d03cfd4f358bf705a55d7964aebfe8a7c6587f0,14
a084fc6f9c6bc10959cf1fdde162ac01db6bf0e9,14
5e03bd0a8ba81116255323c5f12e86ded17b26af,14
3634aad07e73e6609cdea44cbd81db46ed8d15b1,999
f911425a9d1f57f945f9d8c118e83399066891b4,999
2db518cf4264a1e7a8ec0b794b06bbc473b9fa0d,999
509062c5199013fa6746feb8bc2f84539cb927bf,999
cd695027ffb65b9d143d56a01813d47b124a8e05,999
e94c3df0506ddaf6987bafeda89d50ea7e041cd5,999
cae474b623f8d57ef03d1a7fcc737bc741a4f955,14
e879b25c65b60fbda54b988c6712ff8ed0497906,14
e138cbac0557058709685c87ef1fa6c9ce47907b,14
b151c0b968bc62a7a547540e8f7f1e7db618a8fc,14
7f53bc309979aedea28a57ec9adecc5441e1557e,14
dcc05400a46486af77162e0d65c35513f605618a,14
7286a227c9c029a3079c3ec2f934c85b504830ba,14
92272ba21631a05b074f2e0b83aa727a9325f689,15
24ad93f89bfa7d65483d7b938c8b595ef1153a29,15
5575149d361a2d4d76ecedc50f20fc2acccbbd89,15
74fc3256b13ee9384c1e7d4cf1468599404f8ffb,15
5498009a353806074b85baec1387981ca63d17a0,15
0408d9f4ec467c12d9a0c9d8b1b2e2a9a55e5eac,15
85f6ce2b430f8a2f0b2d4c12aa6b9990dd3b1ebf,15
db0ef37251b10d6fb92c6493f3a2d3e02e064de2,14
cbb93b34ac2067ac313cb9c028700ea18877edc2,13
85a4382d08bd645eae3f8f63097c729e2d3c3202,12
1928b3b0f5fa2157334cb176bf246a1586165a95,12
1df9dada8407fee5f03fa61f452a5d2f303b2d53,13
f40dbb9dec8b0de326567cb13b60a96f740d5f2e,3
1c430181e67c439a3bd548cb86ff4297de2de91a,3
b11bcec9bb90d962249057f87659ea23ed0fa8d4,3
bb29528ee9714e5f0e53474cf96d2173ba8bbd74,0
