chemin ,class ,classe_LOC ,classe_CLOC ,classe_DC ,WMC ,classe_BC 
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java,AbstractAnnotation,200,132,0.66,26,0.025384616
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java,AbstractXYAnnotation,188,109,0.57978725,19,0.03051512
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\Annotation.java,Annotation,59,52,0.88135594,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java,CategoryAnnotation,60,50,0.8333333,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java,CategoryLineAnnotation,385,190,0.4935065,28,0.017625231
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,482,245,0.50829875,21,0.024204703
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,246,123,0.5,11,0.045454547
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\TextAnnotation.java,TextAnnotation,314,177,0.56369424,19,0.029668117
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYAnnotation.java,XYAnnotation,64,53,0.828125,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java,XYAnnotationBoundsInfo,66,59,0.8939394,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java,XYBoxAnnotation,279,128,0.45878136,19,0.024146387
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java,XYDataImageAnnotation,347,188,0.54178673,26,0.020837951
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java,XYDrawableAnnotation,228,106,0.4649123,11,0.042264756
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java,XYImageAnnotation,284,150,0.52816904,24,0.022007043
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java,XYLineAnnotation,276,117,0.42391303,29,0.014617691
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java,XYPointerAnnotation,491,242,0.4928717,22,0.022403259
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java,XYPolygonAnnotation,329,158,0.48024315,24,0.02001013
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java,XYShapeAnnotation,272,120,0.44117647,26,0.016968327
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java,XYTextAnnotation,603,325,0.5389718,43,0.012534227
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java,XYTitleAnnotation,359,149,0.41504177,33,0.012577023
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\Axis.java,Axis,1558,774,0.49679077,156,0.0031845563
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\AxisCollection.java,AxisCollection,127,78,0.61417323,8,0.076771654
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java,AxisLabelLocation,49,43,0.877551,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\AxisLocation.java,AxisLocation,83,57,0.686747,4,0.17168675
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\AxisSpace.java,AxisSpace,342,153,0.4473684,41,0.010911425
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\AxisState.java,AxisState,175,109,0.62285715,9,0.06920635
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CategoryAnchor.java,CategoryAnchor,48,42,0.875,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CategoryAxis.java,CategoryAxis,1334,593,0.44452775,143,0.0031085857
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java,CategoryLabelPosition,229,130,0.5676856,11,0.051607784
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java,CategoryLabelPositions,366,169,0.46174863,15,0.030783242
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java,CategoryLabelWidthType,45,40,0.8888889,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CategoryTick.java,CategoryTick,132,77,0.5833333,7,0.08333333
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CompassFormat.java,CompassFormat,149,101,0.67785233,17,0.039873667
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java,CyclicNumberAxis,1048,405,0.38645038,116,0.003331469
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\DateAxis.java,DateAxis,1682,620,0.3686088,217,0.0016986581
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\DateTick.java,DateTick,128,86,0.671875,5,0.134375
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java,DateTickMarkPosition,53,47,0.8867925,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\DateTickUnit.java,DateTickUnit,359,220,0.61281335,39,0.015713163
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\DateTickUnitType.java,DateTickUnitType,80,62,0.775,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java,ExtendedCategoryAxis,239,133,0.55648535,23,0.024195015
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java,LogarithmicAxis,953,458,0.48058763,192,0.0025030605
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\LogAxis.java,LogAxis,989,429,0.4337715,129,0.0033625697
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\LogTick.java,LogTick,72,58,0.8055556,2,0.4027778
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java,MarkerAxisBand,248,109,0.43951613,13,0.03380893
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\ModuloAxis.java,ModuloAxis,398,187,0.46984926,44,0.010678392
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\MonthDateFormat.java,MonthDateFormat,230,132,0.57391304,28,0.020496894
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\NumberAxis.java,NumberAxis,1015,423,0.41674876,161,0.0025885017
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\NumberTick.java,NumberTick,86,67,0.7790698,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\NumberTickUnit.java,NumberTickUnit,153,99,0.64705884,18,0.035947714
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java,NumberTickUnitSource,220,63,0.28636363,31,0.009237536
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\PeriodAxis.java,PeriodAxis,1095,432,0.39452055,120,0.0032876714
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java,PeriodAxisLabelInfo,332,174,0.52409637,22,0.023822563
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java,QuarterDateFormat,191,110,0.57591623,14,0.041136872
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java,StandardTickUnitSource,124,85,0.6854839,5,0.13709678
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java,SubCategoryAxis,418,181,0.43301436,45,0.009622541
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\SymbolAxis.java,SymbolAxis,689,270,0.3918723,94,0.004168854
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\Tick.java,Tick,167,102,0.61077845,8,0.07634731
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\TickType.java,TickType,52,47,0.90384614,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\TickUnit.java,TickUnit,183,119,0.6502732,14,0.046448085
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\TickUnits.java,TickUnits,195,123,0.63076925,13,0.04852071
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\TickUnitSource.java,TickUnitSource,74,68,0.9189189,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\Timeline.java,Timeline,133,122,0.91729325,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\ValueAxis.java,ValueAxis,1617,844,0.52195424,188,0.0027763522
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\axis\ValueTick.java,ValueTick,134,92,0.6865672,5,0.13731344
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\AbstractBlock.java,AbstractBlock,601,341,0.5673877,46,0.012334515
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\Arrangement.java,Arrangement,77,67,0.8701299,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\Block.java,Block,109,95,0.8715596,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\BlockBorder.java,BlockBorder,224,123,0.54910713,16,0.034319196
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\BlockContainer.java,BlockContainer,256,128,0.5,20,0.025
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\BlockFrame.java,BlockFrame,66,57,0.8636364,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\BlockParams.java,BlockParams,125,95,0.76,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\BlockResult.java,BlockResult,72,57,0.7916667,1,0.7916667
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\BorderArrangement.java,BorderArrangement,508,136,0.26771653,75,0.0035695536
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\CenterArrangement.java,CenterArrangement,307,167,0.5439739,33,0.016484058
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\ColorBlock.java,ColorBlock,176,110,0.625,8,0.078125
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\ColumnArrangement.java,ColumnArrangement,363,155,0.42699724,46,0.009282549
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\EmptyBlock.java,EmptyBlock,121,87,0.71900827,3,0.23966943
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\EntityBlockParams.java,EntityBlockParams,54,50,0.9259259,0,0.0
C:\Users\delmasri\Desktop\Ecole\AUT20\IFT3913\IFT3913-TP4\IFT3913__El-Masri_Daniel__Bach_Rym__TP4\jfreechart\src\main\java\org\jfree\chart\block\EntityBlockResult.java,EntityBlockResult,53,48,0.9056604,0,0.0
